Oid,SheetName,ClassName,Name,Value,Units,
2442,Column,TraySection,ColumnSections(1).Trays(9).LiquidFromTrayTemperature,390.476652,K,
2442,Column,TraySection,ColumnSections(1).Trays(9).MaximumPressureDropPerTray,689.4759087,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(9).TrayNumber,9,,
2442,Column,TraySection,ColumnSections(1).Trays(9).VaporToTrayActualVolFlow,0.786010725,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(9).VaporToTrayDensity,0.981107477,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(9).VaporToTrayDynamicViscosity,1.34E-05,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(9).VaporToTrayMassFlow,0.771160999,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(9).VaporToTrayMolecularWeight,18.38875394,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(9).VaporToTrayPressure,170990.026,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(9).VaporToTrayTemperature,390.49828,K,
2442,Column,TraySection,ColumnSections(1).Trays(10).LiquidFromTrayActualVolFlow,0.007525394,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(10).LiquidFromTrayDensity,974.7757174,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(10).LiquidFromTrayDynamicViscosity,0.000573275,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(10).LiquidFromTrayMassFlow,7.335571725,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(10).LiquidFromTrayMolecularWeight,27.47319814,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(10).LiquidFromTrayPressure,171679.502,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(10).LiquidFromTraySurfacetension,0.038531829,N/m,
2442,Column,TraySection,ColumnSections(1).Trays(10).LiquidFromTrayTemperature,390.653174,K,
2442,Column,TraySection,ColumnSections(1).Trays(10).MaximumPressureDropPerTray,689.4759087,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(10).TrayNumber,10,,
2442,Column,TraySection,ColumnSections(1).Trays(10).VaporToTrayActualVolFlow,0.785935622,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(10).VaporToTrayDensity,0.982022792,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(10).VaporToTrayDynamicViscosity,1.34E-05,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(10).VaporToTrayMassFlow,0.771806694,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(10).VaporToTrayMolecularWeight,18.33897959,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(10).VaporToTrayPressure,171679.502,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(10).VaporToTrayTemperature,390.67209,K,
2442,Column,TraySection,ColumnSections(1).Trays(11).LiquidFromTrayActualVolFlow,0.007529014,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(11).LiquidFromTrayDensity,974.4220842,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(11).LiquidFromTrayDynamicViscosity,0.000569811,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(11).LiquidFromTrayMassFlow,7.336437585,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(11).LiquidFromTrayMolecularWeight,27.46396391,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(11).LiquidFromTrayPressure,172368.978,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(11).LiquidFromTraySurfacetension,0.038490035,N/m,
2442,Column,TraySection,ColumnSections(1).Trays(11).LiquidFromTrayTemperature,390.816775,K,
2442,Column,TraySection,ColumnSections(1).Trays(11).MaximumPressureDropPerTray,689.4759087,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(11).TrayNumber,11,,
2442,Column,TraySection,ColumnSections(1).Trays(11).VaporToTrayActualVolFlow,0.785537595,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(11).VaporToTrayDensity,0.983495518,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(11).VaporToTrayDynamicViscosity,1.34E-05,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(11).VaporToTrayMassFlow,0.772572704,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(11).VaporToTrayMolecularWeight,18.29949644,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(11).VaporToTrayPressure,172368.978,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(11).VaporToTrayTemperature,390.833752,K,
2442,Column,TraySection,ColumnSections(1).Trays(12).LiquidFromTrayActualVolFlow,0.007532395,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(12).LiquidFromTrayDensity,974.1104217,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(12).LiquidFromTrayDynamicViscosity,0.000566719,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(12).LiquidFromTrayMassFlow,7.33738486,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(12).LiquidFromTrayMolecularWeight,27.45588726,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(12).LiquidFromTrayPressure,173058.454,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(12).LiquidFromTraySurfacetension,0.038453305,N/m,
2442,Column,TraySection,ColumnSections(1).Trays(12).LiquidFromTrayTemperature,390.971295,K,
2442,Column,TraySection,ColumnSections(1).Trays(12).MaximumPressureDropPerTray,689.4759087,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(12).TrayNumber,12,,
2442,Column,TraySection,ColumnSections(1).Trays(12).VaporToTrayActualVolFlow,0.784919079,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(12).VaporToTrayDensity,0.985373619,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(12).VaporToTrayDynamicViscosity,1.34E-05,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(12).VaporToTrayMassFlow,0.773438554,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(12).VaporToTrayMolecularWeight,18.26751838,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(12).VaporToTrayPressure,173058.454,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(12).VaporToTrayTemperature,390.986835,K,
2442,Column,TraySection,ColumnSections(1).Trays(13).LiquidFromTrayActualVolFlow,0.007535592,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(13).LiquidFromTrayDensity,973.8317343,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(13).LiquidFromTrayDynamicViscosity,0.00056392,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(13).LiquidFromTrayMassFlow,7.338398194,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(13).LiquidFromTrayMolecularWeight,27.44869759,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(13).LiquidFromTrayPressure,173747.929,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(13).LiquidFromTraySurfacetension,0.038420428,N/m,
2442,Column,TraySection,ColumnSections(1).Trays(13).LiquidFromTrayTemperature,391.119181,K,
2442,Column,TraySection,ColumnSections(1).Trays(13).MaximumPressureDropPerTray,689.4759087,Pa,
