Oid,SheetName,ClassName,Name,Value,Units
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidMassDensity,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidMassEnthalpy,,J/kg
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidMassEntropy,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidMassFlow,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidMassFraction,,fraction
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidMassHeatCapacity,,J/(kg.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidMassHeatCapacityConstVol,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidMolarDensity,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidMolarEnthalpy,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidMolarEntropy,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidMolarFlow,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidMolarFraction,,fraction
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidMolarHeatCapacity,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidMolarHeatCapacityConstVol,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidMolecularWeight,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidPressure,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidSpecificGravityMole,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidStandardLiquidVolumeFlowRate,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidStandardVolumetricFlow,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidStdMassDensity,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidSurfaceTension,,N/m
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidTemperature,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidThermalConductivity,,W/(m.K)
